genesym	ensid	essentiality
RRM2	ENSG00000171848	99.69
SF3B14		99.69
SNRPD2	ENSG00000125743	99.69
SPC25	ENSG00000152253	99.69
TWISTNB	ENSG00000105849	99.69
VCP	ENSG00000165280	99.69
XAB2	ENSG00000076924	99.69
CCT8	ENSG00000156261	99.38
CDC20	ENSG00000117399	99.38
CLP1	ENSG00000172409	99.38
COPB2	ENSG00000184432	99.38
CPSF3L	ENSG00000127054	99.38
CTDP1	ENSG00000060069	99.38
EIF3B	ENSG00000106263	99.38
GTF2B	ENSG00000137947	99.38
GTPBP4	ENSG00000107937	99.38
HIST1H2BF	ENSG00000277224	99.38
IGBP1	ENSG00000089289	99.38
POLD1	ENSG00000062822	99.38
PRPF19	ENSG00000110107	99.38
PSMA6	ENSG00000100902	99.38
PSMD6	ENSG00000163636	99.38
RBMX	ENSG00000147274	99.38
RPA3	ENSG00000106399	99.38
RPL17	ENSG00000265681	99.38
RPL23	ENSG00000125691	99.38
RPL34	ENSG00000109475	99.38
RPL5	ENSG00000122406	99.38
SNRPD1	ENSG00000167088	99.38
SNRPG	ENSG00000143977	99.38
TICRR	ENSG00000140534	99.38
TXNL4A	ENSG00000141759	99.38
UBE2I	ENSG00000103275	99.38
USP39	ENSG00000168883	99.38
BCL2L2-PABPN1		99.08
CDC123	ENSG00000151465	99.08
COPA	ENSG00000122218	99.08
DDX56	ENSG00000136271	99.08
HIST1H2BH	ENSG00000275713	99.08
KAT8	ENSG00000103510	99.08
LSM4	ENSG00000130520	99.08
LSM7	ENSG00000130332	99.08
MAD2L1	ENSG00000164109	99.08
MED11	ENSG00000161920	99.08
NHP2L1		99.08
NUP160	ENSG00000030066	99.08
PHB	ENSG00000167085	99.08
POLR2D	ENSG00000144231	99.08
PSMB4	ENSG00000159377	99.08
RGPD6	ENSG00000183054	99.08
RPL19	ENSG00000108298	99.08
RPL30	ENSG00000156482	99.08
RPS18	ENSG00000231500	99.08
RPS20	ENSG00000008988	99.08
RPS21	ENSG00000171858	99.08
RPS27A	ENSG00000143947	99.08
SF1	ENSG00000168066	99.08
SF3A3	ENSG00000183431	99.08
SNRPF	ENSG00000139343	99.08
SRP19	ENSG00000153037	99.08
U2AF1	ENSG00000160201	99.08
AQR	ENSG00000021776	98.77
BIRC5	ENSG00000089685	98.77
CDC5L	ENSG00000096401	98.77
CDT1	ENSG00000167513	98.77
CPSF3	ENSG00000119203	98.77
DYNC1I2	ENSG00000077380	98.77
EEF2	ENSG00000167658	98.77
EIF2B4	ENSG00000115211	98.77
HIST1H2AJ	ENSG00000276368	98.77
LARS	ENSG00000133706	98.77
MED28	ENSG00000118579	98.77
NSF	ENSG00000073969	98.77
NUDT21	ENSG00000167005	98.77
NUTF2	ENSG00000102898	98.77
PSMA7	ENSG00000101182	98.77
PSMB2	ENSG00000126067	98.77
RPS13	ENSG00000110700	98.77
RPS14	ENSG00000164587	98.77
RPS15A	ENSG00000134419	98.77
RPS9	ENSG00000170889	98.77
SLMO2		98.77
SRSF7	ENSG00000115875	98.77
WDR33	ENSG00000136709	98.77
ANAPC1	ENSG00000153107	98.46
AURKB	ENSG00000178999	98.46
CCT3	ENSG00000163468	98.46
CDC45	ENSG00000093009	98.46
DARS	ENSG00000115866	98.46
DHDDS	ENSG00000117682	98.46
EIF3I	ENSG00000084623	98.46
HIST1H2BC	ENSG00000180596	98.46
MED6	ENSG00000133997	98.46
NCBP2	ENSG00000114503	98.46
NIFK	ENSG00000155438	98.46
NPIPA5	ENSG00000183793	98.46
ORC6	ENSG00000091651	98.46
PHB2	ENSG00000215021	98.46
PRELID1	ENSG00000169230	98.46
PSMB7	ENSG00000136930	98.46
RANGAP1	ENSG00000100401	98.46
RPLP1	ENSG00000137818	98.46
SARS	ENSG00000031698	98.46
SPC24	ENSG00000161888	98.46
UBA52	ENSG00000221983	98.46
ANKLE2	ENSG00000176915	98.15
CCNK	ENSG00000090061	98.15
CCT6A	ENSG00000146731	98.15
DDX47	ENSG00000213782	98.15
DUT	ENSG00000128951	98.15
EIF2B2	ENSG00000119718	98.15
KARS	ENSG00000065427	98.15
NARFL	ENSG00000103245	98.15
PAFAH1B1	ENSG00000007168	98.15
SF3A1	ENSG00000099995	98.15
SF3A2	ENSG00000104897	98.15
SPDL1	ENSG00000040275	98.15
TARS	ENSG00000113407	98.15
CARS	ENSG00000110619	97.85
COPS5	ENSG00000121022	97.85
DHX15	ENSG00000109606	97.85
EIF3A	ENSG00000107581	97.85
KIF23	ENSG00000137807	97.85
LSM2	ENSG00000204392	97.85
LSM3	ENSG00000170860	97.85
MAK16	ENSG00000198042	97.85
MED31	ENSG00000108590	97.85
POLR2H	ENSG00000163882	97.85
POLR3B	ENSG00000013503	97.85
PRPF8	ENSG00000174231	97.85
RPA2	ENSG00000117748	97.85
RPAP1	ENSG00000103932	97.85
RPL18	ENSG00000063177	97.85
RPL27	ENSG00000131469	97.85
RRN3	ENSG00000085721	97.85
RUVBL2	ENSG00000183207	97.85
SRSF1	ENSG00000136450	97.85
SRSF2	ENSG00000161547	97.85
SSU72	ENSG00000160075	97.85
SUPT16H	ENSG00000092201	97.85
YARS	ENSG00000134684	97.85
BRF2	ENSG00000104221	97.54
CRNKL1	ENSG00000101343	97.54
DDB1	ENSG00000167986	97.54
EIF3F	ENSG00000175390	97.54
INTS9	ENSG00000104299	97.54
MCM2	ENSG00000073111	97.54
NEDD8	ENSG00000129559	97.54
NUF2	ENSG00000143228	97.54
PCNA	ENSG00000132646	97.54
PPIL2	ENSG00000100023	97.54
MAK16	ENSG00000129084	97.54
PSMA5	ENSG00000143106	97.54
PSMD12	ENSG00000197170	97.54
RBX1	ENSG00000100387	97.54
RPL7	ENSG00000147604	97.54
RPSA	ENSG00000168028	97.54
SDE2	ENSG00000143751	97.54
SMC4	ENSG00000113810	97.54
SNW1	ENSG00000100603	97.54
TUBA1C	ENSG00000167553	97.54
WDR43	ENSG00000163811	97.54
XRCC6	ENSG00000196419	97.54
CCDC94	ENSG00000105248	97.23
CCT7	ENSG00000135624	97.23
CHAF1B	ENSG00000159259	97.23
EIF1AX	ENSG00000173674	97.23
EIF2S1	ENSG00000134001	97.23
KPNB1	ENSG00000108424	97.23
POLR3A	ENSG00000148606	97.23
RPLP0	ENSG00000089157	97.23
SRP54	ENSG00000100883	97.23
TOP2A	ENSG00000131747	97.23
CDC73	ENSG00000134371	96.92
COPB1	ENSG00000129083	96.92
COPZ1	ENSG00000111481	96.92
CWC22	ENSG00000163510	96.92
MTBP	ENSG00000172167	96.92
POLR2E	ENSG00000099817	96.92
PSMA3	ENSG00000100567	96.92
QARS	ENSG00000172053	96.92
RBBP6	ENSG00000122257	96.92
RPL13A	ENSG00000142541	96.92
RPL26	ENSG00000161970	96.92
RPS4X	ENSG00000198034	96.92
TSR2	ENSG00000158526	96.92
U2AF2	ENSG00000063244	96.92
ABCE1	ENSG00000164163	96.62
ATP6V0D1	ENSG00000159720	96.62
CDK9	ENSG00000136807	96.62
CHMP2A	ENSG00000130724	96.62
COPS2	ENSG00000166200	96.62
DDX18	ENSG00000088205	96.62
DHX16	ENSG00000204560	96.62
DYNC1H1	ENSG00000197102	96.62
GINS2	ENSG00000131153	96.62
GNL3	ENSG00000163938	96.62
HNRNPL	ENSG00000104824	96.62
MFAP1	ENSG00000140259	96.62
NCBP1	ENSG00000136937	96.62
RPS24	ENSG00000138326	96.62
UFD1L	ENSG00000070010	96.62
WDR70	ENSG00000082068	96.62
CENPM	ENSG00000100162	96.31
EIF3D	ENSG00000100353	96.31
EPRS	ENSG00000136628	96.31
GARS	ENSG00000106105	96.31
LUC7L3	ENSG00000108848	96.31
MDN1	ENSG00000112159	96.31
NAPA	ENSG00000105402	96.31
POLR2G	ENSG00000168002	96.31
PSMD14	ENSG00000115233	96.31
PSMD3	ENSG00000108344	96.31
RPL4	ENSG00000174444	96.31
RPL7L1	ENSG00000146223	96.31
SLU7	ENSG00000164609	96.31
TOPBP1	ENSG00000163781	96.31
UBB	ENSG00000170315	96.31
VARS	ENSG00000204394	96.31
DTL	ENSG00000143476	96.00
FARSB	ENSG00000116120	96.00
GNB2L1		96.00
GPN1	ENSG00000198522	96.00
MCM3AP	ENSG00000160294	96.00
NEDD1	ENSG00000139350	96.00
NSA2	ENSG00000164346	96.00
NUP133	ENSG00000069248	96.00
RPL35	ENSG00000136942	96.00
RPL38	ENSG00000172809	96.00
SDAD1	ENSG00000198301	96.00
SNRNP200	ENSG00000144028	96.00
SUPT6H	ENSG00000109111	96.00
TRAPPC3	ENSG00000054116	96.00
TUT1	ENSG00000149016	96.00
UPF2	ENSG00000151461	96.00
CDC23	ENSG00000094880	95.69
DDX10	ENSG00000178105	95.69
PAM16	ENSG00000217930	95.69
RPS16	ENSG00000105193	95.69
RTFDC1	ENSG00000022277	95.69
TRAPPC8	ENSG00000153339	95.69
ANAPC4	ENSG00000053900	95.38
ATP6V0C	ENSG00000185883	95.38
EIF2B3	ENSG00000070785	95.38
ESPL1	ENSG00000135476	95.38
FBXO5	ENSG00000112029	95.38
PSMC4	ENSG00000013275	95.38
RPF2	ENSG00000197498	95.38
RPL35A	ENSG00000182899	95.38
WBSCR22	ENSG00000071462	95.38
CENPN	ENSG00000166451	95.08
DDX54	ENSG00000123064	95.08
HCFC1	ENSG00000172534	95.08
HEATR1	ENSG00000119285	95.08
LCE1E	ENSG00000186226	95.08
PHAX	ENSG00000164902	95.08
POLR3F	ENSG00000132664	95.08
UBTF	ENSG00000108312	95.08
YBX1	ENSG00000065978	95.08
ALG11	ENSG00000253710	94.77
ANAPC10	ENSG00000164162	94.77
CPSF2	ENSG00000165934	94.77
EIF2S3	ENSG00000130741	94.77
INTS4	ENSG00000149262	94.77
MARS	ENSG00000166986	94.77
NUS1	ENSG00000153989	94.77
PSMA4	ENSG00000041357	94.77
RBM25	ENSG00000119707	94.77
VPS25	ENSG00000131475	94.77
CDK11A	ENSG00000008128	94.46
PFDN2	ENSG00000143256	94.46
RBM17	ENSG00000134453	94.46
RPL36A	ENSG00000241343	94.46
SACM1L	ENSG00000211456	94.46
TRMT112	ENSG00000173113	94.46
TUBGCP4	ENSG00000137822	94.46
WEE1	ENSG00000166483	94.46
ACTR10	ENSG00000131966	94.15
ATP6V1B2	ENSG00000147416	94.15
CCT5	ENSG00000150753	94.15
DAD1	ENSG00000129562	94.15
DHX37	ENSG00000150990	94.15
MPHOSPH10	ENSG00000124383	94.15
NPLOC4	ENSG00000182446	94.15
NSL1	ENSG00000117697	94.15
PRC1	ENSG00000198901	94.15
RBM14	ENSG00000239306	94.15
RPL23A	ENSG00000198242	94.15
SS18L2	ENSG00000008324	94.15
TSG101	ENSG00000074319	94.15
TTC27	ENSG00000018699	94.15
UBA1	ENSG00000130985	94.15
VPS28	ENSG00000160948	94.15
ATP6V1E1	ENSG00000131100	93.85
BUB3	ENSG00000154473	93.85
CENPW	ENSG00000203760	93.85
EIF2B5	ENSG00000145191	93.85
EIF4E	ENSG00000151247	93.85
HAUS3	ENSG00000214367	93.85
KIN	ENSG00000151657	93.85
POLA2	ENSG00000014138	93.85
POLR2K	ENSG00000147669	93.85
PRPF38B	ENSG00000134186	93.85
PSMB6	ENSG00000142507	93.85
PSMC1	ENSG00000100764	93.85
PWP2	ENSG00000241945	93.85
RACGAP1	ENSG00000161800	93.85
RSL1D1	ENSG00000171490	93.85
SAP30BP	ENSG00000161526	93.85
SNRNP70	ENSG00000104852	93.85
SNRPB	ENSG00000125835	93.85
TNPO3	ENSG00000064419	93.85
WARS	ENSG00000140105	93.85
ACTR2	ENSG00000138071	93.54
EIF2S2	ENSG00000125977	93.54
NAA50	ENSG00000121579	93.54
RSL24D1	ENSG00000137876	93.54
SCFD1	ENSG00000092108	93.54
U2SURP	ENSG00000163714	93.54
WDR75	ENSG00000115368	93.54
AARS	ENSG00000090861	93.23
ARCN1	ENSG00000095139	93.23
ARL2	ENSG00000213465	93.23
CENPC	ENSG00000145241	93.23
CTCF	ENSG00000102974	93.23
ERCC3	ENSG00000163161	93.23
FCF1	ENSG00000119616	93.23
GTF2E2	ENSG00000197265	93.23
ISCU	ENSG00000136003	93.23
KRTAP4-11	ENSG00000212721	93.23
KRTAP5-6	ENSG00000205864	93.23
NOP58	ENSG00000055044	93.23
PDCD7	ENSG00000090470	93.23
SKIV2L2	ENSG00000039123	93.23
CBWD1	ENSG00000172785	92.92
CCT2	ENSG00000166226	92.92
DBR1	ENSG00000138231	92.92
ECD	ENSG00000122882	92.92
FARSA	ENSG00000179115	92.92
GPN2	ENSG00000142751	92.92
GTF2A2	ENSG00000140307	92.92
IMP3	ENSG00000177971	92.92
KANSL2	ENSG00000139620	92.92
NAA38	ENSG00000183011	92.92
PSMD11	ENSG00000108671	92.92
RAD51	ENSG00000051180	92.92
RFC5	ENSG00000111445	92.92
RNGTT	ENSG00000111880	92.92
SART3	ENSG00000075856	92.92
SEC13	ENSG00000157020	92.92
SEC61G	ENSG00000132432	92.92
SF3B4	ENSG00000143368	92.92
SNRNP27	ENSG00000124380	92.92
CDC6	ENSG00000094804	92.62
EIF5	ENSG00000100664	92.62
HIST1H2BN	ENSG00000233822	92.62
HMGCS1	ENSG00000112972	92.62
MCM5	ENSG00000100297	92.62
MCM7	ENSG00000166508	92.62
NIP7	ENSG00000132603	92.62
PGAM4	ENSG00000226784	92.62
POLR1C	ENSG00000171453	92.62
POLR2I	ENSG00000105258	92.62
PSMD1	ENSG00000173692	92.62
RPL22	ENSG00000116251	92.62
RPLP2	ENSG00000177600	92.62
SNAPC1	ENSG00000023608	92.62
TCEB1	ENSG00000154582	92.62
USPL1	ENSG00000132952	92.62
ATP2A2	ENSG00000174437	92.31
BRF1	ENSG00000185024	92.31
C21orf59	ENSG00000159079	92.31
COPS8	ENSG00000198612	92.31
DHFRL1		92.31
GRPEL1	ENSG00000109519	92.31
MED27	ENSG00000160563	92.31
NDC80	ENSG00000080986	92.31
NUP214	ENSG00000126883	92.31
PISD	ENSG00000241878	92.31
RHEB	ENSG00000106615	92.31
RNF113A	ENSG00000125352	92.31
THOC5	ENSG00000100296	92.31
ALG1L	ENSG00000189366	92.00
ALYREF	ENSG00000183684	92.00
C9orf114		92.00
DHX8	ENSG00000067596	92.00
GINS4	ENSG00000147536	92.00
KRTAP5-10	ENSG00000204572	92.00
KRTAP9-4	ENSG00000241595	92.00
MED4	ENSG00000136146	92.00
NRF1	ENSG00000106459	92.00
SF3B2	ENSG00000087365	92.00
TOP1	ENSG00000198900	92.00
BANF1	ENSG00000175334	91.69
BUD31	ENSG00000106245	91.69
EXOSC3	ENSG00000107371	91.69
GSPT1	ENSG00000103342	91.69
GTF2E1	ENSG00000153767	91.69
POLR1B	ENSG00000125630	91.69
PRPF40A	ENSG00000196504	91.69
PSMB5	ENSG00000100804	91.69
RABGGTB	ENSG00000137955	91.69
RCL1	ENSG00000120158	91.69
RIOK2	ENSG00000058729	91.69
TUBGCP3	ENSG00000126216	91.69
AAMP	ENSG00000127837	91.38
ATP6V1A	ENSG00000114573	91.38
EEF1A1	ENSG00000156508	91.38
HINFP	ENSG00000172273	91.38
MED30	ENSG00000164758	91.38
NRDE2	ENSG00000119720	91.38
PKMYT1	ENSG00000127564	91.38
TCP1	ENSG00000120438	91.38
MAT2A	ENSG00000168906	91.08
NOP16	ENSG00000048162	91.08
NVL	ENSG00000143748	91.08
PSMB1	ENSG00000008018	91.08
RCC1	ENSG00000180198	91.08
RFC4	ENSG00000163918	91.08
SYMPK	ENSG00000125755	91.08
TFIP11	ENSG00000100109	91.08
THOC3	ENSG00000051596	91.08
CENPE	ENSG00000138778	90.77
NAT10	ENSG00000135372	90.77
TUBA1B	ENSG00000123416	90.77
BCAS2	ENSG00000116752	90.46
CHMP6	ENSG00000176108	90.46
HAUS1	ENSG00000152240	90.46
MED20	ENSG00000124641	90.46
MEPCE	ENSG00000146834	90.46
NOL10	ENSG00000115761	90.46
POLD3	ENSG00000077514	90.46
PRIM1	ENSG00000198056	90.46
RIOK1	ENSG00000124784	90.46
SSRP1	ENSG00000149136	90.46
UTP15	ENSG00000164338	90.46
ARIH1	ENSG00000166233	90.15
MZT1	ENSG00000204899	90.15
NCAPG	ENSG00000109805	90.15
PHF5A	ENSG00000100410	90.15
TUBG1	ENSG00000131462	90.15
CSTF3	ENSG00000176102	89.85
HNRNPC	ENSG00000092199	89.85
MCM6	ENSG00000076003	89.85
PSMD2	ENSG00000175166	89.85
UTP20	ENSG00000120800	89.85
DTYMK	ENSG00000168393	89.54
EIF1	ENSG00000173812	89.54
HIST1H2BJ	ENSG00000124635	89.54
INCENP	ENSG00000149503	89.54
LAS1L	ENSG00000001497	89.54
NUBP1	ENSG00000103274	89.54
NUP155	ENSG00000113569	89.54
PPP1CB	ENSG00000213639	89.54
RPS2	ENSG00000140988	89.54
CDC37	ENSG00000105401	89.23
DONSON	ENSG00000159147	89.23
EXOSC9	ENSG00000123737	89.23
SRBD1	ENSG00000068784	89.23
TONSL	ENSG00000160949	89.23
CHAF1A	ENSG00000167670	88.92
DDX20	ENSG00000064703	88.92
GBF1	ENSG00000107862	88.92
NMD3	ENSG00000169251	88.92
PLRG1	ENSG00000171566	88.92
POLE2	ENSG00000100479	88.92
PSMD13	ENSG00000185627	88.92
SFPQ	ENSG00000116560	88.92
SNAPC3	ENSG00000164975	88.92
SUPT5H	ENSG00000196235	88.92
UPF1	ENSG00000005007	88.92
WDR12	ENSG00000138442	88.92
ACTL6A	ENSG00000136518	88.62
GPKOW	ENSG00000068394	88.62
HAUS7	ENSG00000213397	88.62
LOC729574		88.62
NKAP	ENSG00000101882	88.62
ORAOV1	ENSG00000149716	88.62
POLD2	ENSG00000106628	88.62
POLE	ENSG00000177084	88.62
PRPF4	ENSG00000136875	88.62
SMC1A	ENSG00000072501	88.62
URI1	ENSG00000105176	88.62
WDR82	ENSG00000164091	88.62
YAE1D1	ENSG00000241127	88.62
AHCTF1	ENSG00000153207	88.31
CACTIN	ENSG00000105298	88.31
CBWD3	ENSG00000196873	88.31
DYNLRB1	ENSG00000125971	88.31
TRAPPC2	ENSG00000196459	88.31
TUBB	ENSG00000196230	88.31
ZCCHC9	ENSG00000131732	88.31
ANAPC5	ENSG00000089053	88.00
GGTLC2	ENSG00000100121	88.00
HAUS6	ENSG00000147874	88.00
LCE1A	ENSG00000186844	88.00
NOP56	ENSG00000101361	88.00
ORC1	ENSG00000085840	88.00
PCBP1	ENSG00000169564	88.00
PES1	ENSG00000100029	88.00
TBC1D3F	ENSG00000275954	88.00
TOP3A	ENSG00000177302	88.00
WDR3	ENSG00000065183	88.00
CCNA2	ENSG00000145386	87.69
FAM103A1	ENSG00000169612	87.69
PRPF31	ENSG00000105618	87.69
RPP38	ENSG00000152464	87.69
RRP9	ENSG00000114767	87.69
TIMELESS	ENSG00000111602	87.69
XRCC5	ENSG00000079246	87.69
ABCB7	ENSG00000131269	87.38
ANAPC2	ENSG00000176248	87.38
ATP6V1D	ENSG00000100554	87.38
CLNS1A	ENSG00000074201	87.38
INTS2	ENSG00000108506	87.38
NOL6	ENSG00000165271	87.38
UXT	ENSG00000126756	87.38
BRIX1	ENSG00000113460	87.08
PCID2	ENSG00000126226	87.08
PMF1-BGLAP		87.08
PRAMEF6	ENSG00000232423	87.08
RNPS1	ENSG00000205937	87.08
SBDS	ENSG00000126524	87.08
TANGO6	ENSG00000103047	87.08
TOMM40	ENSG00000130204	87.08
TTC1	ENSG00000113312	87.08
YKT6	ENSG00000106636	87.08
CDK7	ENSG00000134058	86.77
CHERP	ENSG00000085872	86.77
DKC1	ENSG00000130826	86.77
EXOSC7	ENSG00000075914	86.77
HIST2H3D	ENSG00000183598	86.77
MYC	ENSG00000136997	86.77
HIST1H2AM	ENSG00000278677	86.46
KCMF1	ENSG00000176407	86.46
LCE1F	ENSG00000240386	86.46
MMS22L	ENSG00000146263	86.46
PABPN1	ENSG00000100836	86.46
POMP	ENSG00000132963	86.46
PRPF6	ENSG00000101161	86.46
TCEB2	ENSG00000103363	86.46
EIF6	ENSG00000242372	86.15
EXOSC6	ENSG00000223496	86.15
PPWD1	ENSG00000113593	86.15
RFC3	ENSG00000133119	86.15
SNRNP25	ENSG00000161981	86.15
SPCS3	ENSG00000129128	86.15
TRAPPC11	ENSG00000168538	86.15
AFG3L2	ENSG00000141385	85.85
AKIRIN2	ENSG00000135334	85.85
BMS1	ENSG00000165733	85.85
CRCP	ENSG00000241258	85.85
DHX9	ENSG00000135829	85.85
ELL	ENSG00000105656	85.85
POP5	ENSG00000167272	85.85
RAE1	ENSG00000101146	85.85
CENPK	ENSG00000123219	85.54
EXOSC2	ENSG00000130713	85.54
LTV1	ENSG00000135521	85.54
SGOL1		85.54
WDR36	ENSG00000134987	85.54
CCNH	ENSG00000134480	85.23
CCT4	ENSG00000115484	85.23
LONP1	ENSG00000196365	85.23
MASTL	ENSG00000120539	85.23
PLK4	ENSG00000142731	85.23
PRMT1	ENSG00000126457	85.23
RPL7A	ENSG00000148303	85.23
SNAPC4	ENSG00000165684	85.23
BYSL	ENSG00000112578	84.92
DDOST	ENSG00000244038	84.92
EIF3C	ENSG00000184110	84.92
INTS8	ENSG00000164941	84.92
MCM3	ENSG00000112118	84.92
MED14	ENSG00000180182	84.92
PREB	ENSG00000138073	84.92
RRS1	ENSG00000179041	84.92
COPE	ENSG00000105669	84.62
EXOSC4	ENSG00000178896	84.62
HIST1H2BL	ENSG00000185130	84.62
IFITM3	ENSG00000142089	84.62
RARS	ENSG00000113643	84.62
C1orf131	ENSG00000143633	84.31
NUP85	ENSG00000125450	84.31
PDRG1	ENSG00000088356	84.31
SAP18	ENSG00000150459	84.31
SENP6	ENSG00000112701	84.31
TRNT1	ENSG00000072756	84.31
UTP11L		84.31
ATP6V1G1	ENSG00000136888	84.00
LSM6	ENSG00000164167	84.00
MCM4	ENSG00000104738	84.00
NPAT	ENSG00000149308	84.00
RHOQ	ENSG00000119729	84.00
STX18	ENSG00000168818	84.00
TUBGCP2	ENSG00000130640	84.00
ZNF259		84.00
CDC42	ENSG00000070831	83.69
PMF1	ENSG00000160783	83.69
SEC61A1	ENSG00000058262	83.69
SMC2	ENSG00000136824	83.69
DNAJC17	ENSG00000104129	83.38
EIF3CL	ENSG00000205609	83.38
HAUS4	ENSG00000092036	83.38
HSPA9	ENSG00000113013	83.38
IARS	ENSG00000196305	83.38
KIAA1429	ENSG00000164944	83.38
NOP14	ENSG00000087269	83.38
NUP93	ENSG00000102900	83.38
OGT	ENSG00000147162	83.38
PFDN6	ENSG00000204220	83.38
RBBP4	ENSG00000162521	83.38
DDX41	ENSG00000183258	83.08
MRPL34	ENSG00000130312	83.08
PAK1IP1	ENSG00000111845	83.08
RBBP5	ENSG00000117222	83.08
SOD1	ENSG00000142168	83.08
THOC7	ENSG00000163634	83.08
WDR5	ENSG00000196363	83.08
ZNF131	ENSG00000172262	83.08
GOLGA6A	ENSG00000159289	82.77
MED17	ENSG00000042429	82.77
PCBP2	ENSG00000197111	82.77
SIN3A	ENSG00000169375	82.77
FDX1L		82.46
INTS3	ENSG00000143624	82.46
KRR1	ENSG00000111615	82.46
NHP2	ENSG00000145912	82.46
POLR3K	ENSG00000161980	82.46
PPAN	ENSG00000130810	82.46
TIMM13	ENSG00000099800	82.46
ALG2	ENSG00000119523	82.15
C3orf17		82.15
DIEXF	ENSG00000117597	82.15
GNL2	ENSG00000134697	82.15
HAUS5	ENSG00000249115	82.15
HSPE1	ENSG00000115541	82.15
LYRM4	ENSG00000214113	82.15
RNMT	ENSG00000101654	82.15
RPL24	ENSG00000114391	82.15
SRRT	ENSG00000087087	82.15
TOMM22	ENSG00000100216	82.15
TUBGCP6	ENSG00000128159	82.15
DCTN5	ENSG00000166847	81.85
GPS1	ENSG00000169727	81.85
NAA15	ENSG00000164134	81.85
RPP14	ENSG00000163684	81.85
TRRAP	ENSG00000196367	81.85
XRN2	ENSG00000088930	81.85
DSN1	ENSG00000149636	81.54
PLGLB2	ENSG00000125551	81.54
RBM22	ENSG00000086589	81.54
TRAPPC1	ENSG00000170043	81.54
SNRNP35	ENSG00000184209	81.23
TERF1	ENSG00000147601	81.23
ETF1	ENSG00000120705	80.92
HTATSF1	ENSG00000102241	80.92
ISG20L2	ENSG00000143319	80.92
PMPCA	ENSG00000165688	80.92
RRP1	ENSG00000160214	80.92
SNAPC2	ENSG00000104976	80.92
SRCAP	ENSG00000080603	80.92
WDHD1	ENSG00000198554	80.92
DGCR14	ENSG00000100056	80.62
INTS7	ENSG00000143493	80.62
POP1	ENSG00000104356	80.62
PSMG4	ENSG00000180822	80.62
RBMX2	ENSG00000134597	80.62
TRAPPC5	ENSG00000181029	80.62
CIRH1A		80.31
EIF4A1	ENSG00000161960	80.31
MAX	ENSG00000125952	80.31
PPIL4	ENSG00000131013	80.31
PPP1R7	ENSG00000115685	80.31
RRP7A	ENSG00000189306	80.31
YRDC	ENSG00000196449	80.31
ATP5L	ENSG00000167283	80.00
ERCC2	ENSG00000104884	80.00
FAM32A	ENSG00000105058	80.00
FIP1L1	ENSG00000145216	80.00
GEMIN5	ENSG00000082516	80.00
POLR3C	ENSG00000186141	80.00
PSMG3	ENSG00000157778	80.00
TPR	ENSG00000047410	80.00
